Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,4782,3768,3624,144,78.80%
0434,812,674,649,25,83.00%
0435,649,559,534,25,86.13%
0436,552,462,446,16,83.70%
0437,328,270,264,6,82.32%
0438,253,189,184,5,74.70%
0439,646,511,498,13,79.10%
0440,698,474,456,18,67.91%
0441,440,308,291,17,70.00%
0442,404,321,302,19,79.46%
