Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,5114,3681,3597,84,71.98%
2397,897,617,599,18,68.78%
2398,639,482,474,8,75.43%
2399,1142,756,740,16,66.20%
2400,1133,840,826,14,74.14%
2401,226,192,189,3,84.96%
2402,479,318,304,14,66.39%
2403,598,476,465,11,79.60%
