No.,Name,Gender,Party
1,"LEE,ING-WEN",M,None
2,"CHU,CHI-WEI",M,LONG DANG
3,Lin-Jim,M,None
4,"YANG,CHENG-WU",M,Chungkuo Kuomintang
5,ZHEN FU HAI,M,None
6,"Hung,chin-heng",M,None
