No.,Name,Gender,Party
1,CHANG CHIA HAO,M,Taiwan Animal Protection Party
2,Wang Wen-Chuan,F,None
3,Cheng Kuang-Yu,M,None
4,N̂g Sèng-Hong,M,Sovereign State for Formosa & Pescadores Party
5,Tung Wen-Hsun,F,None
6,CHIANG Wan-an,M,Chungkuo Kuomintang
7,Su Huan-Chih,M,Taiwan Renewal Party
8,HUANG SHAN SHAN,F,None
9,SHIH FENG HSIEN,M,None
10,TARNG SHIN MING,M,GONG HE DANG
11,Hsieh Li-Kang,M,None
12,Chen Shih-Chung,M,Democratic Progressive Party
