No.,Name,Gender,Party
1,HSU CHUNG-HSIN,M,None
2,LIN YI-FONG,M,None
3,HSIEH LUNG-CHIEH,M,Chungkuo Kuomintang
4,Wu ping-hui,M,None
5,HUANG WEI-CHE,M,Democratic Progressive Party
