No.,Name,Gender,Party
1,Huang Yuan-Fu,M,None
2,KUNG WEI-LUN,M,None
3,LIN KENG-JEN,M,Chungkuo Kuomintang
4,LI JI QUN,M,None
5,SHEN HUI-HUNG,F,Democratic Progressive Party
6,KAO HUNG-AN,F,Taiwan People's Party
