No.,Name,Gender,Party
1,LIN TZU MIAO,F,Chungkuo Kuomintang
2,ZHU ZHEN DONG,M,Tian Yi Dang
3,HU HONG ZHE,M,None
4,CHEN chiu-ching,M,None
5,CHIANG TSUNG-YUAN,M,Democratic Progressive Party
6,Chen Wan Hui,F,Taiwan People's Party
