No.,Name,Gender,Party
1,HUANG XIU LONG,M,None
2,FAN ZHEN KUI,M,None
3,CHOU CHIANG-CHIEH,M,Democratic Progressive Party
4,Yang Wen-Ke,M,Chungkuo Kuomintang
5,Liu Fulan,M,None
