No.,Name,Gender,Party
1,CHUNG TUNG-CHIN,M,None
2,Hsieh FuHung,M,Chungkuo Kuomintang
3,Wu Sheng-Sheng,M,None
4,Asu Ting-Chen,M,Democratic Progressive Party
5,Sung Kuo-ting,M,New Power Party
