No.,Name,Gender,Party
1,"HSIEH,KUO-LIANG",M,Chungkuo Kuomintang
2,"CHEN,WEI-CHUNG",F,New Power Party
3,"TSAI,SHIH-YING",M,Democratic Progressive Party
4,"TSENG,KUO-MIN",M,None
5,"HUANG,HSI-HSIEN",M,None
