Name,板橋區,三重區,中和區,永和區,新莊區,新店區,樹林區,鶯歌區,淡水區,汐止區,瑞芳區,土城區,蘆洲區,五股區,泰山區,林口區,深坑區,石碇區,坪林區,三芝區,石門區,八里區,平溪區,雙溪區,貢寮區,金山區,萬里區,烏來區,total
林佳龍,104381,80174,64825,30817,76923,41773,32151,15727,28648,32246,5840,41084,38658,16489,13827,18059,4087,1774,1859,3503,2112,7020,986,1708,2598,3926,3705,951,693976
侯友宜,155252,102421,133107,70337,109914,100768,48797,24927,54376,60836,12120,65017,49023,24483,21033,32258,7461,2202,2316,7057,4026,11608,1687,2921,2889,6161,6157,2646,1152555
