District,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,350758,220783,217941,2842,62.94%
East Dist.,164026,103005,101808,1197,62.80%
North Dist.,122034,76809,75803,1006,62.94%
Xiangshan Dist.,64698,40969,40330,639,63.32%
