District,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,11810,8620,8505,115,72.99%
Nangan Township,6466,4579,4524,55,70.82%
Beigan Township,2745,2089,2057,32,76.10%
Juguang Township,1321,969,957,12,73.35%
Dongyin Township,1278,983,967,16,76.92%
