Name,太保市,朴子市,布袋鎮,大林鎮,民雄鄉,溪口鄉,新港鄉,六腳鄉,total
王育敏,7336,8335,5236,6949,15210,2403,5933,4163,101517
翁章梁,13353,13965,9109,9776,22405,5335,12413,8728,171777
