District,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,122294,48089,47114,975,39.32%
Jincheng Township,36571,14439,14119,320,39.48%
Jinsha Township,18375,7232,7105,127,39.36%
Jinhu Township,26418,10863,10668,195,41.12%
Jinning Township,28944,11105,10846,259,38.37%
Lieyu Township,11425,4236,4168,68,37.08%
Wuqiu Township,561,214,208,6,38.15%
