Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,8898,6762,6638,124,75.99%
0284,1033,783,769,14,75.80%
0285,856,657,644,13,76.75%
0286,532,381,376,5,71.62%
0287,584,426,419,7,72.95%
0288,497,366,360,6,73.64%
0289,450,350,340,10,77.78%
0290,452,372,369,3,82.30%
0291,844,672,660,12,79.62%
0292,729,575,566,9,78.88%
0293,640,488,479,9,76.25%
0294,917,685,671,14,74.70%
0295,457,332,326,6,72.65%
0296,385,285,279,6,74.03%
0297,522,390,380,10,74.71%
