District,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,90360,52870,51242,1628,58.51%
Magong City,52839,30603,29686,917,57.92%
Huxi Township,13505,7897,7680,217,58.47%
Baisha Township,8622,5087,4939,148,59.00%
Xiyu Township,7261,4128,3981,147,56.85%
Wang’an Township,4777,3072,2971,101,64.31%
Qimei Township,3356,2083,1985,98,62.07%
