District,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,307913,185241,182893,2348,60.16%
Zhongzheng Dist.,43912,25306,24953,353,57.63%
Qidu Dist.,44893,26754,26415,339,59.60%
Nuannuan Dist.,32476,19110,18859,251,58.84%
Ren’ai Dist.,33955,21171,20893,278,62.35%
Zhongshan Dist.,39334,24341,23986,355,61.88%
Anle Dist.,67779,41059,40569,490,60.58%
Xinyi Dist.,45564,27500,27218,282,60.35%
